(143) 3761721715 Hz: S11=166936291668885985406414082801664.000000+0.000000j, S21=-52061931409768448.000000+0.000000j
(144) 3904156812 Hz: S11=-0.000000+56520895899440104079360.000000j, S21=-3036080.000000+197878235136.000000j
(145) 4038538746 Hz: S11=-9489959626125344768.000000+-0.000001j, S21=-0.045250+53048172689680760832.000000j
(146) 4172652533 Hz: S11=0.000000+-0.000000j, S21=-14018583559149995434180608.000000+-244746477765821262343853076802518908928.000000j
(147) 3674989 Hz: S11=-0.000000+-62145372350230918160269772291309568.000000j, S21=936519280364949994630104787976192.000000+-0.000000j
(148) 137896489 Hz: S11=-0.002010+-0.000000j, S21=-3672414710765794679120979820544.000000+221580260671551025960714240.000000j
(149) 272041061 Hz: S11=0.000000+0.000000j, S21=-52108441610616832.000000+-3740014619602409649969169415798784.000000j
(150) 406331621 Hz: S11=667925054837502598446852610195456.000000+-3617336472873038205943808.000000j, S21=-940051664895798371908262257754112.000000+3481952359351569986093056.000000j
(151) 548921744 Hz: S11=138128976.000000+-0.000000j, S21=218205148539225055952896.000000+2.880413j
(152) 674726309 Hz: S11=-0.000000+0.046753j, S21=0.000000+-53337291471227715584.000000j
(153) 808857465 Hz: S11=-0.000000+-0.011688j, S21=-0.000000+-12689196711936.000000j
(154) 951592679 Hz: S11=0.000000+-842226980618240.000000j, S21=-0.000000+0.000000j
(155) 1077309815 Hz: S11=0.000002+56520882388641221967872.000000j, S21=-0.045051+11779.144531j
(156) 1211627051 Hz: S11=2263540301824.000000+15909214054008514820799660209872044032.000000j, S21=0.000000+-0.000000j
(157) 1345880520 Hz: S11=-0.000000+56520868877842339856384.000000j, S21=15387883871110453881828330539738726400.000000+-0.180056j
(158) 1480018405 Hz: S11=652471243050804659738755727360.000000+15172206419665636410084588257280.000000j, S21=-0.000000+-3326242576347955200.000000j
(159) 1614317639 Hz: S11=0.000000+210556711600128.000000j, S21=-0.000000+-13275661723441823744.000000j
(160) 1748457632 Hz: S11=-0.032172+0.000000j, S21=-0.000000+-0.000000j
(161) 1882720259 Hz: S11=-0.000000+55196174207657443328.000000j, S21=-0.000000+-0.000000j
(162) 2016969595 Hz: S11=0.000000+-0.000000j, S21=-0.000000+-0.000000j
(163) 2151192598 Hz: S11=-10441546705673434840250103889920.000000+0.000183j, S21=-0.000000+-831953101018628096.000000j
(164) 2285363837 Hz: S11=-0.000126+-237065744196741500386152546304.000000j, S21=-13028644779720704.000000+-375871.375000j
(165) 2419559104 Hz: S11=0.000000+3449760887978590208.000000j, S21=0.000000+3328040002981462016.000000j
(166) 2562193188 Hz: S11=-2549499706003362063209988096.000000+0.000000j, S21=-0.000000+14947197519341502784200750661632000.000000j
(167) 2696344438 Hz: S11=-0.000000+-56520882388641221967872.000000j, S21=-0.000708+-0.000044j
(168) 2822214878 Hz: S11=0.000000+-904334190275853589413888.000000j, S21=-0.000000+-0.000000j
(169) 2956412113 Hz: S11=-0.000000+0.000001j, S21=-738.885376+0.000000j
(170) 3090720309 Hz: S11=2490128576583437738049536.000000+-47.875046j, S21=0.000000+-0.000000j
